"FI.10_0.01","FI.10_0.05","FI.10_0.1","FI.10_0.15","FI.10_0.2","FI.10_0.3","FI.20_0.01","FI.20_0.05","FI.20_0.1","FI.20_0.15","FI.20_0.2","FI.20_0.3","FI.5_0.01","FI.5_0.05","FI.5_0.1","FI.5_0.15","FI.5_0.2","FI.5_0.3","FI200_0.01","FI200_0.05","FI200_0.1","FI200_0.15","FI200_0.2","FI200_0.3","FI40_0.01","FI40_0.05","FI40_0.1","FI40_0.15","FI40_0.2","FI40_0.3","FI80_0.01","FI80_0.05","FI80_0.1","FI80_0.15","FI80_0.2","FI80_0.3"
-0.0555555555555556,-0.103896103896104,-0.0909090909090909,-0.2,-0.0727272727272727,-0.2,-0.112044817927171,0.0125,-0.182539682539683,-0.216666666666667,-0.103174603174603,0.395061728395062,0,0,-0.1,0,-0.1,-0.0833333333333333,0.09125,-0.341904761904762,-0.4739336492891,-0.0545756068144128,-0.385466034755134,-0.00944206008583691,-0.200168208578638,-0.159210526315789,-0.450946643717728,-0.604554865424431,-0.458333333333333,-0.313008130081301,-0.00321428571428571,-0.586588541666667,-0.562372188139059,0.995454545454545,-0.119565217391304,-0.142857142857143
-0.0606060606060606,-0.0277777777777778,-0.0428571428571429,-0.181818181818182,-0.0714285714285714,0.14,0.05,-0.107954545454545,-0.346153846153846,-0.409090909090909,-0.27,-0.456349206349206,0.4,0,0,0.133333333333333,0,0,-0.651776019854196,-0.390291434139428,-0.455826881080008,-0.429428942245295,-0.447726207219878,-0.287726358148893,-0.0398648648648649,0.0328947368421053,-0.466115702479339,-0.119565217391304,-0.340579710144928,-0.52125,-0.834911616161616,-0.258241758241758,-0.507352941176471,-0.603921568627451,-0.0739495798319328,-0.211805555555556
0,0.18,-0.159090909090909,-0.133333333333333,-0.210526315789474,-0.255555555555556,-0.0264705882352941,-0.0285714285714286,-0.175324675324675,-0.261363636363636,0.333333333333333,-0.34,0,0.1,0,-0.1,0.176470588235294,0.125,-0.511935208866155,-0.305418719211823,-0.585333333333333,-0.580047789725209,-0.473451327433628,0.0491725768321513,0.00192307692307692,-0.170833333333333,-0.303422756706753,-0.494714587737844,0.0567375886524823,-0.211538461538462,0.123611111111111,-0.106280193236715,-0.647357723577236,-0.316,-0.168714168714169,-0.309869375907112
0.157142857142857,0,-0.159090909090909,-0.387931034482759,0.4,-0.0909090909090909,0.0911764705882353,-0.135714285714286,-0.233766233766234,-0.356481481481481,-0.5,0.973684210526316,0.2,0.1,0,0.1,0.2,0,-0.0110810810810811,-0.648767605633803,-0.113492063492063,-0.327263656772262,-0.304230769230769,-0.153413089373681,-0.087962962962963,-0.0625,-0.459150326797386,-0.0563380281690141,-0.556088207094918,-0.484848484848485,-0.351702786377709,-0.265098722415796,0.147058823529412,-0.103535353535354,-0.370526315789474,0.176842105263158
-0.0606060606060606,-0.0727272727272727,-0.208333333333333,0,-0.121212121212121,-0.181818181818182,-0.0125,-0.163636363636364,-0.2,-0.37,0.0238095238095238,-0.0416666666666667,0,0.133333333333333,0.266666666666667,0.133333333333333,-0.1,0,-0.257798573975045,-0.35046904315197,-0.378099838969404,-0.504638218923933,-0.0618990384615385,-0.132459970887918,-0.00227272727272727,-0.31859649122807,-0.222727272727273,-0.388888888888889,-0.178861788617886,-0.0195121951219512,0.0272727272727273,-0.248528174936922,-0.377510040160643,-0.734145104008118,0.989247311827957,-0.468043264503441
0.06,0,-0.0909090909090909,0,0.0333333333333333,-0.508928571428571,0.0236842105263158,-0.0244755244755245,-0.302857142857143,-0.116402116402116,-0.316666666666667,-0.424242424242424,0,0,0,-0.1,-0.1,0.266666666666667,-0.405012531328321,-0.652173913043478,-0.327646544181977,-0.483159117305459,-0.621487603305785,-0.327246376811594,0.0508064516129032,-0.220946915351506,-0.153191489361702,-0.419354838709677,-0.600249066002491,0.319327731092437,0.126225490196078,-0.171283783783784,-0.423529411764706,-0.107843137254902,-0.18167701863354,-0.473202614379085
-0.0454545454545455,-0.157142857142857,0.0555555555555556,-0.0303030303030303,0,-0.126126126126126,-0.0342105263157895,-0.00625,-0.0634920634920635,-0.540598290598291,-0.2625,0.0246913580246914,0,0,0,-0.1,0,-0.291666666666667,0.00605364784469262,-0.605363217930758,-0.260388559093362,-0.404583956153463,-0.491756272401434,-0.514953271028037,-0.106707317073171,-0.0562851782363977,0.0431818181818182,-0.214285714285714,0.24390243902439,0.977272727272727,-0.168831168831169,-0.339277549154092,-0.366300366300366,-0.706349206349206,-0.453333333333333,-0.605496453900709
0.1,-0.0111111111111111,-0.113636363636364,-0.22,-0.107142857142857,-0.121212121212121,-0.0131578947368421,-0.181818181818182,0.00680272108843537,-0.0952380952380952,-0.105555555555556,-0.205128205128205,0,0,0,0,0,-0.166666666666667,-0.120961964864404,-0.707410850092952,-0.587566844919786,-0.547232407892439,-0.276637168141593,-0.423126782473425,-0.024390243902439,-0.0211382113821138,-0.160952380952381,-0.0905752753977968,-0.205962059620596,-0.403846153846154,-0.0240582462804685,-0.427977500611396,-0.422764227642276,0.204819277108434,-0.432608695652174,0.321428571428571
0.0428571428571429,-0.113636363636364,-0.185714285714286,-0.30952380952381,-0.242857142857143,-0.273809523809524,0.0166666666666667,-0.072463768115942,0.0346153846153846,-0.285714285714286,-0.305194805194805,-0.292207792207792,0,0.0952380952380952,0.833333333333333,0,0.2,-0.222222222222222,-0.262094630515683,0.11286594761171,-0.397445255474453,-0.660696517412935,-0.0576333537706928,-0.539757412398922,-0.164285714285714,-0.139455782312925,-0.18815331010453,-0.352272727272727,-0.230769230769231,-0.400326797385621,0.025,0.147212543554007,-0.515659601391965,-0.479775280898876,-0.52037037037037,-0.421529175050302
0,0.051948051948052,-0.166666666666667,0.18,0.15,-0.0833333333333333,0.0388888888888889,0.012396694214876,0.12,-0.0740740740740741,-0.0818181818181818,0.0634920634920635,0,0.0833333333333333,0.266666666666667,0.1,0,0.6,NA,0.146327187591454,NA,NA,-0.375089477451682,-0.404891304347826,-0.00138888888888889,-0.0995670995670996,-0.166081871345029,-0.1575,-0.470967741935484,-0.653535353535354,-0.0666194188518781,-0.398825654923216,-0.373493975903614,-0.713353632013919,-0.16358024691358,-0.321280991735537
-0.0727272727272727,-0.133333333333333,0.1,0.0333333333333333,-0.0333333333333333,-0.283333333333333,0.0447368421052632,-0.231481481481481,-0.426666666666667,-0.0961538461538462,-0.0858585858585859,-0.5,0,0.857142857142857,0.2,0.133333333333333,0,0,NA,NA,NA,NA,-0.0919701213818861,-0.501068376068376,-0.0828125,-0.115,-0.00609756097560976,-0.56198347107438,-0.183333333333333,-0.35,0,0.0492647058823529,-0.592978797358359,-0.619047619047619,-0.375757575757576,-0.341573033707865
-0.0777777777777778,0,0.26,-0.197802197802198,-0.151515151515152,-0.156862745098039,0,-0.0659340659340659,-0.257575757575758,-0.323809523809524,-0.42,-0.3671875,0,0,0,-0.1,-0.166666666666667,0.0833333333333333,NA,NA,NA,NA,NA,NA,-0.165656565656566,-0.113095238095238,-0.28034188034188,-0.429338103756708,-0.420634920634921,-0.2421875,-0.0658653846153846,-0.0319444444444444,-0.29646017699115,-0.307308970099668,0.0186915887850467,-0.235640648011782
-0.0555555555555556,-0.141414141414141,-0.325396825396825,0.18,0,-0.138888888888889,-0.0112044817927171,-0.166666666666667,-0.173913043478261,-0.274285714285714,-0.331168831168831,0.037037037037037,0,-0.1,0.266666666666667,-0.194444444444444,0.2,-0.133333333333333,NA,NA,NA,NA,NA,NA,-0.0653846153846154,-0.234126984126984,-0.184375,-0.561320754716981,-0.576131687242798,0.242990654205607,-0.0669659558548447,-0.449652777777778,0.0309278350515464,-0.390532544378698,-0.394339622641509,-0.151260504201681
0,0,0.1,-0.269230769230769,-0.266666666666667,-0.1,0.0184210526315789,-0.171428571428571,-0.181818181818182,-0.05,-0.433333333333333,-0.30952380952381,0,0,0,-0.1,-0.0555555555555556,0.285714285714286,NA,NA,NA,NA,NA,NA,-0.0431818181818182,-0.37037037037037,-0.0112570356472795,-0.334375,-0.332552693208431,-0.285714285714286,-0.0225806451612903,-0.349206349206349,-0.3584229390681,-0.588546838795101,-0.0951219512195122,-0.215217391304348
